epoch,bpm
1783976374.0,77.0
1783976375.0,77.0
1783976376.0,76.0
1783976377.0,77.0
1783976378.0,73.0
1783976379.0,73.0
1783976380.0,74.0
1783976381.0,72.0
1783976382.0,72.0
1783976383.0,71.0
1783976384.0,70.0
1783976385.0,68.0
1783976386.0,67.0
1783976387.0,66.0
1783976388.0,66.0
1783976407.0,73.0
1783976408.0,73.0
1783976409.0,72.0
1783976410.0,71.0
1783976411.0,71.0
1783976413.0,73.0
1783976414.0,74.0
1783976415.0,74.0
1783976416.0,75.0
1783976417.0,75.0
1783976418.0,75.0
1783976419.0,75.0
1783976464.0,79.0
1783976465.0,78.0
1783976466.0,78.0
1783976525.0,75.0
1783976526.0,75.0
1783976527.0,74.0
1783976528.0,73.0
1783976529.0,73.0
1783976530.0,72.0
1783976531.0,72.0
1783976532.0,72.0
1783976533.0,71.0
1783976534.0,70.0
1783976535.0,70.0
1783976536.0,70.0
1783978642.0,78.0
1783978643.0,78.0
1783978644.0,78.0
1783978645.0,76.0
1783978646.0,74.0
1783978647.0,75.0
1783978648.0,74.0
1783978649.0,74.0
1783978650.0,69.0
1783978651.0,67.0
1783978656.0,73.0
1783978657.0,73.0
1783978658.0,73.0
1783978659.0,72.0
1783978660.0,72.0
1783978661.0,70.0
1783978662.0,70.0
1783978663.0,70.0
1783978664.0,70.0
1783978665.0,70.0
1783978686.0,83.0
1783978687.0,83.0
1783978688.0,83.0
1783978689.0,82.0
1783978690.0,82.0
1783978691.0,82.0
1783978692.0,82.0
1783978693.0,82.0
1783978694.0,83.0
1783978695.0,83.0
1783978696.0,83.0
1783978697.0,83.0
1783978698.0,83.0
1783978699.0,83.0
1783978700.0,83.0
1783978701.0,83.0
1783978702.0,83.0
1783978703.0,83.0
1783978704.0,83.0
1783978705.0,83.0
1783978706.0,83.0
1783978707.0,82.0
1783978708.0,81.0
1783978709.0,81.0
1783978710.0,78.0
1783978711.0,78.0
1783978712.0,75.0
1783978713.0,75.0
1783978745.0,95.0
1783978747.0,78.0
1783978748.0,79.0
1783978749.0,79.0
1783978750.0,79.0
1783978751.0,79.0
1783978752.0,78.0
1783978753.0,78.0
1783978754.0,78.0
1783978755.0,78.0
1783978756.0,77.0
1783978810.0,94.0
1783978811.0,93.0
1783978812.0,91.0
1783978813.0,91.0
1783979017.0,95.0
1783979105.0,85.0
1783979106.0,84.0
1783979107.0,83.0
1783979108.0,82.0
1783979109.0,82.0
1783979110.0,83.0
1783979111.0,83.0
1783979112.0,83.0
1783979113.0,84.0
1783979114.0,84.0
1783979115.0,83.0
1783979116.0,83.0
1783979117.0,83.0
1783979118.0,82.0
1783979119.0,80.0
1783979120.0,80.0
1783979121.0,80.0
1783979122.0,79.0
1783979123.0,79.0
1783979124.0,79.0
1783979125.0,79.0
1783979126.0,78.0
1783979127.0,78.0
1783979128.0,78.0
1783979129.0,78.0
1783979130.0,77.0
1783979131.0,76.0
1783979132.0,76.0
1783979826.0,87.0
1783979827.0,86.0
1783979828.0,84.0
1783979829.0,83.0
1783979830.0,83.0
1783979831.0,83.0
1783979832.0,83.0
1783979833.0,83.0
1783979834.0,83.0
1783979835.0,84.0
1783979836.0,83.0
1783979837.0,82.0
1783979838.0,82.0
1783979839.0,79.0
1783979840.0,78.0
1783979841.0,78.0
1783979842.0,78.0
1783979843.0,78.0
1783979844.0,79.0
1783979845.0,79.0
1783979846.0,79.0
1783979847.0,79.0
1783979848.0,78.0
1783979849.0,78.0
1783979850.0,77.0
1783979851.0,77.0
1783979852.0,76.0
